Year,State,District,target_yield,Area,Production,yield_calculated,ndvi,rainfall,temperature
1966,CHHATTISGARH,DURG,337.59,90453.54513,207673.2601,337.59,0.218319959,14.81593037,24.43080513
1967,CHHATTISGARH,DURG,747.71,90453.54513,207673.2601,747.71,0.211970174,13.11932254,25.15620503
1968,CHHATTISGARH,DURG,841.27,90453.54513,207673.2601,841.27,0.219829703,3.064616062,24.10371801
1969,CHHATTISGARH,DURG,711.4,90453.54513,207673.2601,711.4,0.228583116,0.405523773,23.97078376
1970,CHHATTISGARH,DURG,828.55,90453.54513,207673.2601,828.55,0.211011284,5.698371795,24.5937056
1971,CHHATTISGARH,DURG,709.69,90453.54513,207673.2601,709.69,0.211011448,11.72778142,23.44885471
1972,CHHATTISGARH,DURG,654.41,90453.54513,207673.2601,654.41,0.229144945,3.510188074,24.77284943
1973,CHHATTISGARH,DURG,786.5,90453.54513,207673.2601,786.5,0.221027165,10.5015941,23.86421894
1974,CHHATTISGARH,DURG,372.83,90453.54513,207673.2601,372.83,0.208658073,12.00334255,24.87170987
1975,CHHATTISGARH,DURG,758.82,90453.54513,207673.2601,758.82,0.218778418,2.091014353,24.82322933
1976,CHHATTISGARH,DURG,551.04,90453.54513,207673.2601,551.04,0.20871864,2.580887163,24.69651841
1977,CHHATTISGARH,DURG,952.89,90453.54513,207673.2601,952.89,0.20869552,9.524452766,24.94870394
1978,CHHATTISGARH,DURG,591.35,90453.54513,207673.2601,591.35,0.21577244,6.720380353,24.83259834
1979,CHHATTISGARH,DURG,535.99,90453.54513,207673.2601,535.99,0.194220015,2.530834972,24.58399931
1980,CHHATTISGARH,DURG,812.1,90453.54513,207673.2601,812.1,0.196103639,4.200240364,25.6460031
1981,CHHATTISGARH,DURG,804.6,90453.54513,207673.2601,804.6,0.207729942,5.608544841,24.92715495
1982,CHHATTISGARH,DURG,817.49,90453.54513,207673.2601,817.49,0.203224506,-1.86312952,25.11645365
1983,CHHATTISGARH,DURG,1134.51,90453.54513,207673.2601,1134.51,0.216495291,9.789358137,25.26703948
1984,CHHATTISGARH,DURG,891.81,90453.54513,207673.2601,891.81,0.204272577,3.56768166,25.0645743
1985,CHHATTISGARH,DURG,1109.38,90453.54513,207673.2601,1109.38,0.19922978,-7.957438514,25.76191607
1986,CHHATTISGARH,DURG,816.49,90453.54513,207673.2601,816.49,0.228009305,5.841787763,24.81350305
1987,CHHATTISGARH,DURG,807.1,90453.54513,207673.2601,807.1,0.211095054,2.25328631,24.72701893
1988,CHHATTISGARH,DURG,842.19,90453.54513,207673.2601,842.19,0.214028099,14.40525357,24.40571356
1989,CHHATTISGARH,DURG,692.67,90453.54513,207673.2601,692.67,0.199105335,3.0339175,24.60236264
1990,CHHATTISGARH,DURG,1181.43,90453.54513,207673.2601,1181.43,0.20790899,0.472925787,24.36488732
1991,CHHATTISGARH,DURG,1136.31,90453.54513,207673.2601,1136.31,0.214462043,8.500805955,25.06910556
1992,CHHATTISGARH,DURG,1129.8,90453.54513,207673.2601,1129.8,0.201842882,2.658905765,24.27434148
1993,CHHATTISGARH,DURG,1246.02,90453.54513,207673.2601,1246.02,0.217109798,2.063861599,24.76739569
1994,CHHATTISGARH,DURG,1331.73,90453.54513,207673.2601,1331.73,0.20734643,8.508649519,25.01027308
1995,CHHATTISGARH,DURG,1454.44,90453.54513,207673.2601,1454.44,0.21043588,0.758806065,24.80566155
1996,CHHATTISGARH,DURG,1290.2,90453.54513,207673.2601,1290.2,0.207335751,-1.325225686,24.28254217
1997,CHHATTISGARH,DURG,1138.37,90453.54513,207673.2601,1138.37,0.231875599,14.59113262,25.07997206
1998,CHHATTISGARH,DURG,870.45,90453.54513,207673.2601,870.45,0.213217845,8.858636293,24.68782975
1999,CHHATTISGARH,DURG,1251.04,90453.54513,207673.2601,1251.04,0.202775708,4.64009618,23.2941435
2000,CHHATTISGARH,DURG,624.89,435303,224171,0.514976924,0.221578266,5.943756556,24.23882376
2001,CHHATTISGARH,DURG,1294.13,436807,605170,1.385440252,0.201144381,8.490464395,25.43106573
2002,CHHATTISGARH,DURG,643.6,432904,233410,0.539172657,0.215441453,10.82782985,25.47266053
2003,CHHATTISGARH,DURG,1494.73,442753,716384,1.618021786,0.193756116,2.181266148,24.99355521
2004,CHHATTISGARH,DURG,1268.46,449635,633535,1.40899841,0.200070957,7.791875235,25.1225341
2005,CHHATTISGARH,DURG,1268.46,453535,746241,1.645387897,0.21532143,3.427621724,24.34135262
2006,CHHATTISGARH,DURG,1505.81,460930,673868,1.461974703,0.220737483,5.016236382,24.6004274
2007,CHHATTISGARH,DURG,1369.98,465325,730870,1.570665664,0.2150665,6.764606942,25.34818291
2008,CHHATTISGARH,DURG,876.42,464617,420864,0.905829963,0.212196335,5.92774974,24.94345723
2009,CHHATTISGARH,DURG,788.37,451263,355753,0.788349588,0.21034178,9.638977096,24.7629738
2010,CHHATTISGARH,DURG,1695.77,462087,844764,1.828149245,0.198567597,8.3965754,24.63709534
2011,CHHATTISGARH,DURG,1756.23,129502,248913,1.922078423,0.206154375,-1.579703442,25.31773561
2012,CHHATTISGARH,DURG,1900.97,129784,296124,2.281668002,0.20874643,-0.82797343,25.29151568
2013,CHHATTISGARH,DURG,1581.86,130671,253696,1.941486634,0.22392404,4.112559181,25.05533548
2014,CHHATTISGARH,DURG,1729.89,130467,242048,1.855243088,0.216789,15.10426892,24.76363714
2015,CHHATTISGARH,DURG,1076.95,90453.54513,207673.2601,1076.95,0.195722416,1.703183442,24.55212136
2016,CHHATTISGARH,DURG,2085.96,90453.54513,207673.2601,2085.96,0.216593657,4.920029057,25.07700647
2017,CHHATTISGARH,DURG,1168.92,90453.54513,207673.2601,1168.92,0.209501995,3.27941247,24.17954469
1966,CHHATTISGARH,BASTAR,642.86,90453.54513,207673.2601,642.86,0.206583597,3.190920684,24.28321468
1967,CHHATTISGARH,BASTAR,770.53,90453.54513,207673.2601,770.53,0.21946958,6.852341324,24.00495393
1968,CHHATTISGARH,BASTAR,694.71,90453.54513,207673.2601,694.71,0.223662813,12.96502899,25.3481145
1969,CHHATTISGARH,BASTAR,766.72,90453.54513,207673.2601,766.72,0.222665619,8.240984604,24.3701663
1970,CHHATTISGARH,BASTAR,723.78,90453.54513,207673.2601,723.78,0.204960642,1.943487798,24.9325035
1971,CHHATTISGARH,BASTAR,822.71,90453.54513,207673.2601,822.71,0.210260694,19.72729016,24.66772085
1972,CHHATTISGARH,BASTAR,645,90453.54513,207673.2601,645,0.216665452,6.35400871,26.1792691
1973,CHHATTISGARH,BASTAR,808.66,90453.54513,207673.2601,808.66,0.223108269,3.075037823,24.95145233
1974,CHHATTISGARH,BASTAR,670.73,90453.54513,207673.2601,670.73,0.208561075,13.02162448,23.79942923
1975,CHHATTISGARH,BASTAR,890.03,90453.54513,207673.2601,890.03,0.211496228,3.615789515,25.31821749
