Year,State,District,target_yield,Season,Crop,yield,ndvi,rainfall,temperature
1966,Chhattisgarh,Durg,337.59,,,,,,
1967,Chhattisgarh,Durg,747.71,,,,,,
1968,Chhattisgarh,Durg,841.27,,,,,,
1969,Chhattisgarh,Durg,711.4,,,,,,
1970,Chhattisgarh,Durg,828.55,,,,,,
1971,Chhattisgarh,Durg,709.69,,,,,,
1972,Chhattisgarh,Durg,654.41,,,,,,
1973,Chhattisgarh,Durg,786.5,,,,,,
1974,Chhattisgarh,Durg,372.83,,,,,,
1975,Chhattisgarh,Durg,758.82,,,,,,
1976,Chhattisgarh,Durg,551.04,,,,,,
1977,Chhattisgarh,Durg,952.89,,,,,,
1978,Chhattisgarh,Durg,591.35,,,,,,
1979,Chhattisgarh,Durg,535.99,,,,,,
1980,Chhattisgarh,Durg,812.1,,,,,,
1981,Chhattisgarh,Durg,804.6,,,,,,
1982,Chhattisgarh,Durg,817.49,,,,,,
1983,Chhattisgarh,Durg,1134.51,,,,,,
1984,Chhattisgarh,Durg,891.81,,,,,,
1985,Chhattisgarh,Durg,1109.38,,,,,,
1986,Chhattisgarh,Durg,816.49,,,,,,
1987,Chhattisgarh,Durg,807.1,,,,,,
1988,Chhattisgarh,Durg,842.19,,,,,,
1989,Chhattisgarh,Durg,692.67,,,,,,
1990,Chhattisgarh,Durg,1181.43,,,,,,
1991,Chhattisgarh,Durg,1136.31,,,,,,
1992,Chhattisgarh,Durg,1129.8,,,,,,
1993,Chhattisgarh,Durg,1246.02,,,,,,
1994,Chhattisgarh,Durg,1331.73,,,,,,
1995,Chhattisgarh,Durg,1454.44,,,,,,
1996,Chhattisgarh,Durg,1290.2,,,,,,
1997,Chhattisgarh,Durg,1138.37,,,,,,
1998,Chhattisgarh,Durg,870.45,,,,,,
1999,Chhattisgarh,Durg,1251.04,,,,,,
2000,Chhattisgarh,Durg,624.89,,,,,,
2001,Chhattisgarh,Durg,1294.13,,,,,,
2002,Chhattisgarh,Durg,643.6,,,,,,
2003,Chhattisgarh,Durg,1494.73,,,,,,
2004,Chhattisgarh,Durg,1268.46,,,,,,
2005,Chhattisgarh,Durg,1268.46,,,,,,
2006,Chhattisgarh,Durg,1505.81,,,,,,
2007,Chhattisgarh,Durg,1369.98,,,,,,
2008,Chhattisgarh,Durg,876.42,,,,,,
2009,Chhattisgarh,Durg,788.37,,,,,,
2010,Chhattisgarh,Durg,1695.77,,,,,,
2011,Chhattisgarh,Durg,1756.23,,,,,,
2012,Chhattisgarh,Durg,1900.97,,,,,,
2013,Chhattisgarh,Durg,1581.86,,,,,,
2014,Chhattisgarh,Durg,1729.89,,,,,,
2015,Chhattisgarh,Durg,1076.95,,,,,,
2016,Chhattisgarh,Durg,2085.96,,,,,,
2017,Chhattisgarh,Durg,1168.92,,,,,,
1966,Chhattisgarh,Bastar,642.86,,,,,,
1967,Chhattisgarh,Bastar,770.53,,,,,,
1968,Chhattisgarh,Bastar,694.71,,,,,,
1969,Chhattisgarh,Bastar,766.72,,,,,,
1970,Chhattisgarh,Bastar,723.78,,,,,,
1971,Chhattisgarh,Bastar,822.71,,,,,,
1972,Chhattisgarh,Bastar,645.0,,,,,,
1973,Chhattisgarh,Bastar,808.66,,,,,,
1974,Chhattisgarh,Bastar,670.73,,,,,,
1975,Chhattisgarh,Bastar,890.03,,,,,,
1976,Chhattisgarh,Bastar,644.26,,,,,,
1977,Chhattisgarh,Bastar,909.17,,,,,,
1978,Chhattisgarh,Bastar,820.15,,,,,,
1979,Chhattisgarh,Bastar,621.51,,,,,,
1980,Chhattisgarh,Bastar,754.33,,,,,,
1981,Chhattisgarh,Bastar,743.65,,,,,,
1982,Chhattisgarh,Bastar,705.7,,,,,,
1983,Chhattisgarh,Bastar,758.36,,,,,,
1984,Chhattisgarh,Bastar,741.66,,,,,,
1985,Chhattisgarh,Bastar,1502.16,,,,,,
1986,Chhattisgarh,Bastar,724.82,,,,,,
1987,Chhattisgarh,Bastar,688.29,,,,,,
1988,Chhattisgarh,Bastar,965.78,,,,,,
1989,Chhattisgarh,Bastar,952.77,,,,,,
1990,Chhattisgarh,Bastar,970.47,,,,,,
1991,Chhattisgarh,Bastar,1072.13,,,,,,
1992,Chhattisgarh,Bastar,912.56,,,,,,
1993,Chhattisgarh,Bastar,997.36,,,,,,
1994,Chhattisgarh,Bastar,990.33,,,,,,
