iter	RMSE
0	22.24272722
1	20.50651926
2	18.93235853
3	17.52473472
4	16.28724179
5	15.19965174
6	14.27583657
7	13.42936338
8	12.67235703
9	11.95933015
10	11.41127649
11	10.90496126
12	10.49392677
13	10.10798838
14	9.760376501
15	9.453792492
16	9.142048584
17	8.908571527
18	8.707892646
19	8.495926106
20	8.330628022
21	8.173986356
22	8.030321538
23	7.892629332
24	7.77723677
25	7.673901953
26	7.589931975
27	7.509874493
28	7.441322975
29	7.355169069
30	7.296143285
31	7.237941238
32	7.191149075
33	7.138569649
34	7.092545147
35	7.02287019
36	6.967911036
37	6.91593502
38	6.881167676
39	6.835757586
40	6.791705779
41	6.758538594
42	6.726491725
43	6.697824599
44	6.674002075
45	6.641618814
46	6.591780747
47	6.503176376
48	6.470445333
49	6.41023782
50	6.381107058
51	6.352530617
52	6.329196069
53	6.297675247
54	6.264284455
55	6.236483616
56	6.220741249
57	6.190658212
58	6.169461521
59	6.134742346
60	6.107059627
61	6.084469745
62	6.06989221
63	6.048547854
64	6.024874456
65	5.995633124
66	5.976316853
67	5.952857916
68	5.934725659
69	5.920635247
70	5.900641433
71	5.881780076
72	5.8646904
73	5.840203046
74	5.805057743
75	5.785130755
76	5.764527777
77	5.747881751
78	5.725111764
79	5.711565635
80	5.696340828
81	5.683364172
82	5.631723393
83	5.614851423
84	5.596622902
85	5.582027683
86	5.567480438
87	5.543152832
88	5.529504765
89	5.487428602
90	5.46971008
91	5.454170452
92	5.437568888
93	5.418100657
94	5.401974032
95	5.380783245
96	5.365019254
97	5.351713878
98	5.336426535
99	5.323435819
