iter	Passed	Remaining
0	148	14695
1	158	7776
2	169	5470
3	179	4307
4	191	3641
5	202	3180
6	215	2861
7	227	2614
8	239	2418
9	250	2258
10	262	2126
11	274	2013
12	286	1919
13	299	1842
14	311	1767
15	324	1702
16	336	1643
17	349	1591
18	361	1540
19	373	1495
20	386	1455
21	399	1415
22	411	1377
23	423	1340
24	435	1306
25	448	1275
26	461	1246
27	473	1217
28	485	1189
29	497	1161
30	509	1134
31	522	1110
32	534	1086
33	547	1062
34	559	1038
35	570	1014
36	582	991
37	593	967
38	604	945
39	616	924
40	627	902
41	639	883
42	650	861
43	661	841
44	672	821
45	683	802
46	694	783
47	705	764
48	716	745
49	726	726
50	737	708
51	748	690
52	759	673
53	770	656
54	782	639
55	793	623
56	804	606
57	814	590
58	826	574
59	837	558
60	848	542
61	859	527
62	871	511
63	882	496
64	893	481
65	904	466
66	915	450
67	927	436
68	939	421
69	951	407
70	962	393
71	974	378
72	985	364
73	997	350
74	1009	336
75	1022	322
76	1034	308
77	1046	295
78	1058	281
79	1069	267
80	1081	253
81	1093	239
82	1104	226
83	1115	212
84	1126	198
85	1137	185
86	1149	171
87	1160	158
88	1171	144
89	1182	131
90	1194	118
91	1205	104
92	1217	91
93	1228	78
94	1239	65
95	1251	52
96	1262	39
97	1273	25
98	1284	12
99	1295	0
